round_epochs,loss,acc,val_loss,val_acc,lr,optimizer,activation,dropout,regularization,loss_functions,layers,layer_size,batch_size
11,0.3706279911442501,0.82655555,0.5023473869296038,0.7916084,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,300,4
11,0.37408747842576767,0.8232222,0.50464949445291,0.78811187,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,100,64
11,0.46041429949738083,0.7965556,0.5203216161136027,0.78811187,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,300,4
11,0.37067848865191144,0.82577777,0.4987858706837767,0.7923077,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,1,300,64
11,0.366283170859905,0.8292222,0.4953239067294798,0.7923077,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,None,categorical_crossentropy,3,100,4
11,0.38770417473299634,0.82244444,0.4918253422512875,0.7916084,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,300,4
11,0.37228385983573065,0.82577777,0.49561594099431605,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,1,300,64
17,0.3686729185846117,0.82744443,0.49529486319401883,0.7944056,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,300,64
11,0.3656977980136871,0.82755554,0.5053246135478253,0.7923077,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,None,categorical_crossentropy,1,300,64
11,0.37084196066856384,0.82533336,0.490763036104349,0.793007,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,1,100,64
11,0.36732440066337585,0.8271111,0.4985748506509341,0.7923077,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,3,300,64
11,0.3668057220776876,0.82766664,0.49344616928300655,0.7902098,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,None,categorical_crossentropy,3,300,64
11,0.38970079165034827,0.8236667,0.49840182466106814,0.7937063,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,300,64
11,0.3714937108622657,0.8251111,0.49588258324803175,0.7923077,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,300,64
